date,experiment,paper_or_tool,what_ran,status,n,headline,artifact,needs_credential
2026-09-17,capsule-packaging,four original tracks,clean-clone verify_artifacts.py,complete,n/a,paths executable without IBM token,scripts/verify_artifacts.py,no
2026-09-17,mali-pretrained-vs-scratch,Ma-Li arXiv:2411.15631,10-fold fake-snapshot adaptation packaged,complete,340,scratch R2 0.8855 vs pretrained 0.5922; QWalk 36s vs 13s,artifacts/mali/,no
2026-09-17,qonductor-csv,Qonductor-SC25,recompute public 100-row metrics,complete,100,regression R2 0.9386 vs DAG 0.8849,artifacts/qonductor/,no
2026-09-17,qonductor-mapping,Qonductor-SC25,join-key audit CSV vs SQLite,complete,100 vs 7449 jobs,no job_id/circuit_id join,artifacts/validation/qonductor_mapping/,no
2026-09-17,cdaa-qcre,Tremba et al. arXiv:2505.16908,bundled analysis + offline compile,complete,45,30/45 exact; 63.74x vs traditional depth,artifacts/cdaa_qcre/,no
2026-09-17,cutensornet-frontier,cuTensorNet RUNTIME_EST,GPU warm vs EST packaged,complete,55,warm actual/EST 0.215,artifacts/cutensornet/,no
2026-09-17,mali-qcre-proxy,Ma-Li + QCRE,FakeOsaka/Kyoto transpile of 340 QASM,complete,340,physical depth R2 0.785 vs logical -0.019,artifacts/validation/mali_qcre_proxy/,no
2026-09-17,mali-qcre-grouped-seed,Ma-Li,QASM-grouped folds + 3 transpiler seeds + ablation,complete,340,grouped physical R2 0.7879; seed range 0.776-0.790,artifacts/validation/mali_qcre_final/,no
2026-09-18,mali-qwalk-forensics,Ma-Li,T1/T2 intervention on fold-10 QWalk,complete,1 circuit x 2 backends,pretrained uses T1/T2 to explode Osaka,artifacts/mali/MA_LI_QWALK_AND_QCRE_INTERPRETATION.md,no
2026-09-18,osaka-kyoto-snapshot-drift,DAQEC public snapshots,42 timestamps over 14 days,complete,42 x 2 backends,Osaka T1 CV 17.3%; not historical Ma-Li tensor,artifacts/validation/mali_snapshot_variability/,no
2026-09-18,azizov-p0-p1,Azizov et al. arXiv:2609.12980,independent noisy Aer after fake transpile,complete,168 then 504,author table/code not public,artifacts/azizov_independent/,no
2026-09-18,azizov-feasible-q9,Azizov,screen q<=9 then split eval,complete,1192,grouped hybrid RF log-R2 0.8558; backend holdout 0.53-0.63,artifacts/azizov_independent/,no
